web-scraper-order,web-scraper-start-url,apartamente,apartamente-href,no_of_rooms,surface,no_of_bathrooms,partitioning,price,no_of_terraces,cartier,title,age,user_id,city,county
1628179487-822,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=8,"Garsoniera decomandata, 28 mp, recent renovata, zona Piata Flora",https://www.blitz.ro/cluj-napoca/garsoniera-inchiriat-manastur-blitz54426ai,1,28,1,Decomandat,200,1,Manastur,"Garsoniera decomandata, 28 mp, recent renovata, zona Piata Flora", Nou,1,Cluj,Cluj-Napoca
1628179534-843,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=8,"1 camera, Pet Friendly, semidecomandat, 25 mp, zona Iulius Mall",https://www.blitz.ro/cluj-napoca/garsoniera-inchiriat-gheorgheni-blitz63484ai,1,25,1,Semidecomandat,200,0,Gheorgheni,"1 camera, Pet Friendly, semidecomandat, 25 mp, zona Iulius Mall", Vechi,1,Cluj,Cluj-Napoca
1628179690-910,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=6,"2 camere, 54 mp, zona Pietei Abator",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-semicentral-blitz64552ai,2,54,1,Decomandat,365,0,Semicentral,"2 camere, 54 mp, zona Pietei Abator", Nou,1,Cluj,Cluj-Napoca
1628178909-573,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=15,"Apartament 2 camere, parcare, terasa, zona P-ta M. Viteazu",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-central-blitz47868ai,2,45,1,Semidecomandat,600,0,Central,"Apartament 2 camere, parcare, terasa, zona P-ta M. Viteazu", Nou,1,Cluj,Cluj-Napoca
1628179658-896,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=6,"Apartament 2 camere, decomandat, modern, prima inchiriere, zona Centrala",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-central-blitz56027ai,2,60,1,Decomandat,330,0,Central,"Apartament 2 camere, decomandat, modern, prima inchiriere, zona Centrala", Nou,1,Cluj,Cluj-Napoca
1628179170-685,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=12,"Apartament 2 camere decomandate, 70 mp, zona strazii Bucuresti",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-marasti-blitz67725ai,2,70,1,Decomandat,420,0,Marasti,"Apartament 2 camere decomandate, 70 mp, zona strazii Bucuresti", Nou,1,Cluj,Cluj-Napoca
1628179647-891,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=6,"Apartament cu 1 cameră, în zona străzii Dejului.",https://www.blitz.ro/cluj-napoca/garsoniera-inchiriat-marasti-blitz66116ai,1,30,1,Decomandat,250,1,Marasti,"Apartament cu 1 cameră, în zona străzii Dejului.", Vechi,1,Cluj,Cluj-Napoca
1628179449-806,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=9,"Apartament 3 camere, 60 mp, garaj, terasa 30 mp, zona strazii Traian",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-central-blitz54236ai,3,60,1,Semidecomandat,550,1,Central,"Apartament 3 camere, 60 mp, garaj, terasa 30 mp, zona strazii Traian", Nou,1,Cluj,Cluj-Napoca
1628179651-893,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=6,"Apartament 2 camere, aer condiționat, balcon, zona străzii Corneliu Coposu",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-dambul-rotund-blitz65970ai,2,40,1,Decomandat,350,1,Dambul Rotund,"Apartament 2 camere, aer condiționat, balcon, zona străzii Corneliu Coposu", Vechi,1,Cluj,Cluj-Napoca
1628179692-911,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=6,"Apartament 3 camere, 60 mp, etaj intermediar, zona strazii Parang",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-manastur-blitz63724ai,3,60,1,Semidecomandat,300,1,Manastur,"Apartament 3 camere, 60 mp, etaj intermediar, zona strazii Parang", Vechi,1,Cluj,Cluj-Napoca
1628179397-783,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=9,"Apartament PET FRIENDLY, 3 camere, parcare, zona Florilor!",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-4-camere-floresti-blitz39305ai,4,64,1,Semidecomandat,250,0,Floresti,"Apartament PET FRIENDLY, 3 camere, parcare, zona Florilor!", Nou,1,Cluj,Cluj-Napoca
1628180008-1047,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=2,"Inchiriere 4 camere, decomandat, 80 mp utili, parcare, zona Podului Calvaria!",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-4-camere-manastur-blitz10355ai,4,80,1,Decomandat,350,1,Manastur,"Inchiriere 4 camere, decomandat, 80 mp utili, parcare, zona Podului Calvaria!", Vechi,1,Cluj,Cluj-Napoca
1628179307-745,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=11,"Apartament cu 1 camera, semidecomandat, 24mp, zona Bulgaria",https://www.blitz.ro/cluj-napoca/garsoniera-inchiriat-bulgaria-blitz63205ai,1,24,1,Semidecomandat,210,1,Bulgaria,"Apartament cu 1 camera, semidecomandat, 24mp, zona Bulgaria", Vechi,1,Cluj,Cluj-Napoca
1628178928-581,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=15,"Apartament 2 camere, 50 mp, decomadat, zona strazii Fabricii",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-marasti-blitz16910ai,2,50,1,Decomandat,330,1,Marasti,"Apartament 2 camere, 50 mp, decomadat, zona strazii Fabricii", Vechi,1,Cluj,Cluj-Napoca
